Plot number,ABCOCAN1969,ABCOSAP1969,ABCOSEED1969,ABLASCAN1969,ABLASSAP1969,ABLASSEED1969,ABMACAN1969,ABMASAP1969,ABMASEED1969,CADECAN1969,CADESAP1969,CADESEED1969,PICBRECAN1969,PICBRESAP1969,PICBRESEED1969,PICENGCAN1969,PICENGSAP1969,PICENGSEED1969,PINCONCAN1969,PINCONSAP1969,PINCONSEED1969,PINLAMCAN1969,PINLAMSAP1969,PINLAMSEED1969,PINMONCAN1969,PINMONSAP1969,PINMONSEED1969,PINPONCAN1969,PINPONSAP1969,PINPONSEED1969,PSMECAN1969,PSMESAP1969,PSMESEED1969,TSMERCAN1969,TSMERSAP1969,TSMERSEED1969
B081969,0,0,0,0,37.5,37.5,7,7,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,7,3
B091969,0,0,0,0,37.5,7,7,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,17.5,7,0,0,0,0,0,0,0,7,17.5,7
B101969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B111969,0,0,0,0,0,0,87.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B121969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B141969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,37.5,7
B161969,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.5,17.5,7
B171969,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,17.5,17.5,3
B191969,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,7,3,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0
B201969,0,3,3,0,0,0,7,17.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0
B211969,0,0,0,0,0,0,3,17.5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,37.5,17.5,7
B221969,0,0,0,0,0,0,3,37.5,7,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,17.5,7,0,0,0,0,0,0,0,7,3
B241969,17.5,17.5,7,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0
B251969,7,17.5,7,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,7,7,3,0,0,0,7,7,3,0,0,0,0,0,0,0,7,3
B261969,0,0,0,0,17.5,7,7,7,0,0,0,0,0,0,0,17.5,17.5,7,7,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
B271969,17.5,17.5,7,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7,0,3,0,0,0,0,3,17.5,7,7,0,0,0
B291969,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7
B301969,0,0,0,0,0,0,7,37.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B311969,0,7,7,0,0,0,3,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B321969,0,0,0,3,7,3,7,17.5,7,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,3,7,3,0,0,0,0,0,0,7,17.5,7
B331969,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,0,0,17.5,17.5,7,0,0,0,7,7,7,0,0,0,0,0,0,7,7,3
B341969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,7
B351969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0
B361969,0,3,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
B371969,0,0,0,0,0,0,87.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B391969,0,0,0,0,0,0,7,37.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B401969,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3
B411969,0,3,0,0,0,0,0,7,7,0,0,0,7,7,7,0,0,0,3,7,7,0,0,0,7,7,7,0,0,0,0,0,0,0,7,7
B421969,17.5,7,3,0,0,0,37.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,7,0
B431969,62.5,3,3,0,0,0,37.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B481969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7
B491969,0,0,0,0,0,0,62.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.5,7,3
B501969,17.5,17.5,7,0,0,0,0,7,3,3,0,0,17.5,7,7,0,0,0,17.5,7,3,7,3,3,7,3,3,0,0,0,7,17.5,0,0,0,0
B521969,3,0,7,0,0,0,17.5,37.5,7,0,0,0,7,17.5,7,0,0,0,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,3,0
B531969,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,7,3
B541969,0,0,0,1,0,1,7,7,7,0,0,0,0,0,0,17.5,7,7,7,3,1,0,0,0,7,3,1,0,0,0,0,0,0,7,7,7
B561969,0,0,0,0,0,0,7,37.5,17.5,0,0,0,3,7,7,0,0,0,3,7,3,0,0,0,0,17.5,7,3,0,0,0,0,0,3,17.5,7
B571969,17.5,17.5,7,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,7,7,3,0,0,0,0,0,0,0,1,0
B581969,0,0,0,0,0,0,7,17.5,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0
B591969,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,17.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B601969,0,0,0,0,7,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,17.5,7
B611969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B631969,0,0,0,0,0,0,37.5,7,7,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,17.5,17.5,3
B651969,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,3
B661969,0,0,0,0,3,3,0,17.5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,37.5,37.5,3
B681969,0,0,0,0,37.5,7,17.5,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,7,0,0
B691969,0,7,0,0,17.5,7,7,17.5,7,0,0,0,0,0,0,17.5,7,7,87.5,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3
B701969,17.5,17.5,3,7,17.5,3,0,0,0,0,0,0,0,0,0,62.5,17.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3
B711969,0,17.5,7,0,0,0,7,3,0,0,0,0,0,0,0,62.5,17.5,7,17.5,0,0,0,0,0,0,0,0,3,0,0,17.5,0,0,7,3,0
B721969,7,62.5,17.5,0,0,0,3,7,3,0,0,0,3,7,7,0,0,0,0,0,0,17.5,7,7,0,0,0,37.5,7,7,3,17.5,0,0,0,0
B741969,17.5,17.5,7,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7,3,0,0,0,37.5,7,3,7,7,7,0,0,0
B761969,7,7,7,0,0,0,0,0,7,0,0,0,0,0,0,7,17.5,7,0,0,0,0,0,0,0,7,0,0,0,0,17.5,17.5,0,0,0,0
B771969,37.5,7,7,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
B781969,7,7,7,0,0,0,3,1,1,0,0,0,17.5,0,3,0,1,3,3,0,0,3,0,0,3,0,0,0,0,0,37.5,1,0,0,1,7
B811969,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
B821969,0,0,0,0,0,0,17.5,3,0,0,0,0,17.5,3,0,1,0,0,0,0,0,0,0,0,17.5,7,0,0,0,0,3,0,0,17.5,17.5,0
B831969,0,7,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
B841969,17.5,7,7,17.5,17.5,7,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,17.5,0,0,0,0,0,0,0,17.5,17.5,7
B851969,7,7,7,0,0,0,37.5,17.5,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,17.5,7,7
B861969,7,7,0,0,0,0,37.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,17.5,7,7,17.5,7,0
B881969,17.5,17.5,7,0,0,0,0,0,1,17.5,17.5,7,0,0,0,0,0,0,0,0,0,17.5,7,3,0,0,0,37.5,7,0,17.5,37.5,17.5,0,0,0
B991969,7,37.5,17.5,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,62.5,17.5,7,0,7,7,0,0,0
C011969,0,0,0,0,0,0,37.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,62.5,7,3
A012015,17.5,7,3,0,0,0,3,0,0,0,0,0,1,0,0,3,3,1,7,0,0,0,0,0,17.5,0,3,0,0,0,7,0,0,17.5,3,3
A022015,17.5,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
A052015,37.5,17.5,7,0,0,0,0,0,0,7,0,3,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,3,37.5,17.5,7,0,3,0
A082015,62.5,37.5,7,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17.5,17.5,7,0,0,0
