Sequence,Year,Elevation2015m,Estim,HighBand,LowBand
80,2015,2201,1.038681507,1.120018125,0.148380935
57,2015,2202,1.029711246,1.113724113,0.149338111
105,2015,2205,1.003597021,1.095367551,0.15244928
102,2015,2208,0.978646457,1.077775478,0.155875951
52,2015,2218,0.903385222,1.024251938,0.15143536
84,2015,2220,0.889708877,1.014424443,0.154327571
56,2015,2225,0.857391179,0.985065281,0.162708506
10,2015,2227,0.845186472,0.967670739,0.166509092
40,2015,2227,0.845186472,0.967670739,0.166509092
28,2015,2230,0.82762146,0.963944614,0.172679394
101,2015,2232,0.816391051,0.960897923,0.177102178
128,2015,2233,0.810916364,0.956826389,0.178818002
42,2015,2242,0.765645206,0.922577143,0.165157244
100,2015,2247,0.743407786,0.905263007,0.153933704
49,2015,2248,0.739193439,0.901934326,0.151799738
76,2015,2254,0.7154544,0.882408381,0.148630857
83,2015,2255,0.711745977,0.879830241,0.15160346
86,2015,2270,0.663794339,0.933636963,0.144136682
75,2015,2272,0.65839678,0.947557509,0.139785469
55,2015,2274,0.65321213,0.964996338,0.135535106
53,2015,2274,0.65321213,0.964996338,0.135535106
29,2015,2277,0.645819426,0.982167542,0.129344553
91,2015,2285,0.628217995,1.012720942,0.113874793
87,2015,2288,0.622352958,1.022922873,0.108444601
48,2015,2290,0.618650496,1.029325008,0.104931831
74,2015,2291,0.616859436,1.03240335,0.103207
30,2015,2308,0.591907024,1.070878983,0.081101283
82,2015,2310,0.589578032,1.073480725,0.080858849
90,2015,2331,0.571119189,1.298228145,0.075415559
124,2015,2340,0.565890729,1.330178738,0.071557991
81,2015,2341,0.565387487,1.325516462,0.071078554
54,2015,2348,0.562237859,1.351548433,0.067462757
125,2015,2376,0.554222941,1.380611777,0.04969665
88,2015,2415,0.546529531,1.298823833,0.02334483
89,2015,2458,0.530353427,0.958387256,0.003324445
